accoglienza.sale_meeting,consolato.orari.apertura,cap,consolato.console,agenzia.intestazione,accoglienza.direttore,accoglienza.residences,id,tipi_specifici,divertimento-e-ristoro.orari.note,accoglienza.descrizione,accoglienza.stelle,divertimento-e-ristoro.cucina,consolato.pec,citta,fax,indirizzo,telefono,web,consolato.orari.note,divertimento-e-ristoro.orari.apertura,tipi,divertimento-e-ristoro.orari.giorni,consolato.orari.giorni,consolato.stato,email,divertimento-e-ristoro.orari.chiusura,accoglienza.gestione,accoglienza.camere,nome,divertimento-e-ristoro.informazioni,consolato.orari.chiusura,mobile
,,90145,,DA.NI.MA s.a.s di Lo Cascio Nicoletta & C.,,,10,,,,,,,Palermo,0919768145,I Colori del Mondo,0919768143,,,,agenzia di viaggi,,,,icoloridelmondo@pinguinoviaggi.net,,,,I Colori del Mondo,,,
,,90143,,Capricorno '75 S.n.c.,,,26,,,,,,,Palermo,091309624,Kinos Viaggi,091307036,www.kinosviaggi.com,,,agenzia di viaggi,,,,info@kinosviaggi.com,,,,Kinos Viaggi,,,
,,90128,,L & T srl,,,30,,,,,,,Palermo,0952880709,L & T viaggi,0952880709,,,,agenzia di viaggi,,,,ltviaggi@hotmail.it,,,,L & T viaggi,,,
,,90139,,Ausoniaviaggi S.r.l.,,,35,,,,,,,Palermo,091320578,Ausonia Viaggi,091/585555,www.ausoniaviaggi.it,,,agenzia di viaggi,,,,info@ausoniaviaggi.it,,,,Ausonia Viaggi,,,
,,90144,,Manfre' Viaggi S.r.l.,,,40,,,,,,,Palermo,091525451,Manfre' Viaggi,091525442,www.manfreviaggi.it,,,agenzia di viaggi,,,,manfreviaggi@tin.it,,,,Manfre' Viaggi,,,
,,90144,,Borneo Viaggi di Tuttoilmondo Stefania,,,46,,,,,,,Palermo,091/7826559,Borneo Viaggi,091/7302746,www.borneoviaggi.it,,,agenzia di viaggi,,,,borneoviaggi@hotmail.it,,,,Borneo Viaggi,,,
,,90143,,,,,55,,,,,,,Palermo,09150844407,Montalto Viaggi,0915084407,,,,agenzia di viaggi,,,,montaltoadv@libero.it,,,,Montalto Viaggi,,,
,,90144,,Noema Viaggi S.r.l.,,,58,,,,,,,Palermo,091302531,Noema Viaggi,091300675,www.noemaviaggi.it,,,agenzia di viaggi,,,,info@noemaviaggi.it,,,,Noema Viaggi,,,
,,90146,,Alemarviaggi S.r.l.,,,72,,,,,,,Palermo,091/521887,Cocciola Viaggi,091/528322,www.cocciolaviaggi.it,,,agenzia di viaggi,,,,info@cocciolaviaggi.it,,,,Cocciola Viaggi,,,
,,90147,,Costa delle Mimose S.r.l.,,,80,,,,,,,Palermo,091/7481898,Costa delle Mimose,091/6910644,www.costadellemimose.it,,,agenzia di viaggi,,,,costaantonella1973@gmail.com,,,,Costa delle Mimose,,,
