Tipo|Nome del sito|descrizione del sito|indirizzo|info|orario ingresso|note orario ingresso|biglietto|indirizzo mail|sito web|note visite guidate|accessibilità
Chiese e Oratori|Cappella dei Falegnami (1627)|cappella|Via Maqueda 172||da lunedì a venerdì dalle 10.00 alle 12.30||||||
Chiese e Oratori|Cappella Palatina (1143)|Cappella|Piazza Indipendenza||orari: da Lunedì a Sabato dalle 8.15 alle 17.40 ult.ingresso 17 - Domenica e festivi dalle 8.15 alle 13 ult.ingresso 12,15|durante la funzione religiosa dalle 09.45 alle 11.15 non sono ammessi visitatori.|costi: intero  7,00 - ridotto   5,00 per ragazzi dai 18 ai 25 anni facenti parte della Comunità Europea e corpo docente -    gratuito x scolaresche (previa prenotazione) sotto 18 ed over 65||www.federicosecondo.org|la Cappella Palatina + Palazzo Reale costi: biglietto cumulativo  8.50 (ridotto  6.50) |
Chiese e Oratori|Cattedrale  (1185)|chiesa|Corso Vittorio Emanuele|tel. 329 3977513 (informazioni) - 091 334373 (archivio) |orari: da Novembre a Febbraio da Lunedì a Sabato dalle 8 alle 17.30 - Domenica e festivi dalle 7 alle 13 e dalle 16 alle 19 |da Novembre a Febbraio da Lunedì a Sabato dalle 9.30 alle 13.30 da Marzo ad Ottobre da Lunedì a Sabato dalle 9.00 alle 17.30  |costo  intero  3,00 ||www.cattedrale.palermo.it |Area Monumentale + Museo Diocesano  da Lunedì a Sabato dalle 9.30 alle 13 e dalle 14 alle 16 costi: intero  5,00 ridotto  1,00 per under 18 ed  2,00 per over 65 anni|In loco noleggiabile impianto di radioguida, obbligatorio in caso di guida turistica a seguito al costo di  1,50 cad.
Chiese e Oratori|Chiesa dei SS. Quaranta Martiri Pisani alla Guilla (1608)|chiesa|Piazza dei SS. Quaranta Martiri|tel. 339 1588692 - 329 3977513|orari: la Domenica dalle 9 alle 13|La chiesa è chiusa da Lunedì a Sabato ed è altresì visitabile su prenotazione telefonica|||||
Chiese e Oratori|Chiesa del Monastero delle Cappuccinelle (1750)|chiesa|Via delle Cappuccinelle, 109|tel. 091 6114745 |il Martedì ed il Mercoledì dalle 9 alle 12, il Giovedì dalle 9.30 alle 12.30 e dalle 15 alle 18 - Domenica dalle 10.30 alle 12.30 e dalle 15 alle 18|Chiusa Lunedì, Venerdì, Sabato e festivi|||||
Chiese e Oratori|Chiesa del Ss. Salvatore (1528) |chiesa|Corso Vittorio Emanuele, 395|tel. 091 323392|orari: il Lunedì e da Mercoledì a Sabato dalle 9.30 alle 12.30 e dalle 15 alle 17 - Domenica (1° e 3° di ogni mese) dalle 9 alle 13|Chiuso Martedì |||||
Chiese e Oratori|Chiesa della Madonna dei Rimedi dei carmelitani Scalzi (1610)|chiesa|Piazza Indipendenza |tel. 091 422473 |tutti i giorni dalle 7 alle 12 e dalle 16.30 alle 19.30 (Lunedi solo 7 - 12)|Chiusa Lunedì mattina|||www.carmelitaniscalzidipalermo.com||
Chiese e Oratori|Chiesa della Madonna dell'Itria ai Cocchieri (1596)|chiesa|Piazzetta Chiesa Cocchieri, 1 (ang. Via Alloro)|tel. 091 6165848|orari: il Sabato dalle 15.30 alle 18.00 - Domenica dalle 10.30 alle 12.30|Chiusa al pubblico da Lunedì a Venerdì |||||
Chiese e Oratori|Chiesa della Magione (Ss. Trinità) (1191)|chiesa|Piazza Magione, 44|tel. 091 6170596 (Ass.ne Esperanza) - 328 8039833|da Lunedì a Sabato dalle 8.45 alle 11.45 e dalle 15 alle 18. Domenica e festivi dalle 8.45 alle 12.30|Visitabile anche: Chiostro, Cappella della Misericordia e la Sala S.Cecilia orari: da Lunedì a Sabato dalle 9.30 alle 18.30 - Domenica e festivi dalle 9.30 alle 12.30 |costi: contributo d'ingresso  "offerta libera"||www.basilicalamagione.diocesipa.it||
Chiese e Oratori|Chiesa della Martorana (S.Maria dell'Ammiraglio) (1143)|chiesa|Piazza Bellini, 3|tel. 091 6161692|Chiusa per restauro. Riapertura prevista gennaio 2013||||||
Chiese e Oratori|Chiesa dell'Immacolata Concezione al Capo (1610)|chiesa|Via Porta Carini al Capo|tel: 091 328430 |tutti i giorni dalle 9 alle 11.30 - (Sabato 9 - 11,30 e 15.30 - 18)||||www.santippolito.arcidiocesi.palermo.it||
Chiese e Oratori|Chiesa di Casa Professa  (Chiesa del Gesù) (1578)|Chiesa|Piazza Casa Professa, 21 |tel. 091 332213 - 334 1879038|da Lunedì a Sabato dalle 9.30 alle 13.30. Domenica dalle 6.30 alle 12.30 - Festivi dalle 17 alle 18.30||||www.casaprofessa.blogspot.com||
Chiese e Oratori|Chiesa di Maria SS della Mercede al Capo (1482)|chiesa|Via Cappuccinelle ang. Piazza Capo |Chiusa per restauro|Chiusa per restauro||||||
Chiese e Oratori|Chiesa di S. Agostino (1275)|chiesa|Via S. Agostino|tel. 091 584632|da Lunedi a Sabato dalle 7 alle 12 e dalle 16 alle 18 Domenica e festivi dalle 7 alle 12||||||
Chiese e Oratori|Chiesa di S. Antonio Abate Magno (1220)|chiesa|Via Roma 203/A|tel. 091 589940|Sabato dalle 17.30 alle 18.30 - Domenica e festivi 9 - 12||||www.santoantonioabate.diocesipa.it||
Chiese e Oratori|Chiesa di S. Cataldo (1154)|chiesa|Piazza Bellini, 3 (Cavalieri del Santo Sepolcro)|tel. 091 302667|da Lunedi a Sabato dalle 9.30 alle 12.30 e dalle 15.00 alle 18.00.||(contributo d'ingresso)  2,50||||
Chiese e Oratori|Chiesa di S. Caterina (1580)|chiesa|Piazza Bellini, 2|tel. 338 7228775 - 338 4512011|tutto l'anno da Lunedi a Sabato dalle 9.30 alle 13.30 da aprile ad ottobre anche dalle 15 alle 18.30. Domenica e festivi dalle 9.30 alle 13.30||costi: (contributo d'ingresso)  2,00||www.itinerars.it||
Chiese e Oratori|Chiesa di S. Chiara (1340)|chiesa|Piazza S. Chiara, 11|tel. 091 331141 - 340 9840657 |il Sabato dalle 17 alle 18.30 - Domenica dalle 9 alle 10.30|La chiesa è visitabile nei giorni feriali su richiesta E' operativo il Centro Salesiano all'interno della Chiesa con servizi d'accoglienza per extracomunitari dalle 6.30 alle 23|||||
Chiese e Oratori|Chiesa di S. Cristina La Vetere (1174)|chiesa|Vicolo dei Pellegrini, 2 |tel. 091 348728 |la Domenica dalle 10 alle 13 o su prenotazione Chiusa gli altri giorni e festivi|la Domenica dalle 10 alle 13 o su prenotazione|costi: (contributo d'ingresso)  2,00|www.itimed.org|itimed@gmail.com||
Chiese e Oratori|Chiesa di S. Domenico (1640)|chiesa|Piazza S. Domenico|tel. 091 589172 - 091 6114314 - 329 4259159|da Ottobre a Maggio dal Martedì alla Domenica dalle 8 alle 12, nei mesi di maggio ed ottobre anche il lunedì dalle 8 alle 12. Da luglio a settembre da martedì a domenica dalle 8.30 alle 11.30|n.b. la Domenica non è consentita la visita per gruppi turistici Chiusa Lunedì|||www.itinerars.it||
Chiese e Oratori|Chiesa di S. Eulalia dei Catalani (1537)|chiesa sede dell'Istituto Cervantes PA|Via Argenteria Nuova, 33 |tel. 091 8430481|dal 15 settembre al 30 Giugno da Lunedì a Giovedì dalle 9.00 alle 13.30 e dalle 15.30 alle 18.30 - Venerdì dalle 8 alle 15 - Luglio e dall'1/9 al 14/9 da Lunedì a Venerdì dalle 8 alle 15|Chiusa Sabato - Domenica - Festivi|||||
Chiese e Oratori|Chiesa di S. Francesco d'Assisi (1277)|chiesa|Piazza S.Francesco d'Assisi|tel. 091 582370 |Tutti i giorni dalle 7 alle 11.30 e dalle 16 alle 18. Domenica dalle 7 alle 13.||||||
