id,nome,indirizzo,numero-civico,cap,quartiere,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione,consolato.stato,consolato.console,consolato.pec,consolato.orari.giorni,consolato.orari.apertura,consolato.orari.chiusura,consolato.orari.note,accoglienza.stelle,accoglienza.camere,accoglienza.sale_meeting,accoglienza.residences,accoglienza.descrizione,accoglienza.direttore,accoglienza.gestione,divertimento-e-ristoro.cucina,divertimento-e-ristoro.orari.giorni,divertimento-e-ristoro.orari.apertura,divertimento-e-ristoro.orari.chiusura,divertimento-e-ristoro.orari.note,divertimento-e-ristoro.informazioni,luoghi-da-visitare.orari.giorni,luoghi-da-visitare.orari.apertura,luoghi-da-visitare.orari.chiusura,luoghi-da-visitare.orari.note,luoghi-da-visitare.orari.visite,luoghi-da-visitare.orari.servizi,luoghi-da-visitare.orari.prezzi,luoghi-da-visitare.informazioni_storiche,luoghi-da-visitare.note,luoghi-da-visitare.gestore.nome,luoghi-da-visitare.gestore.indirizzo,luoghi-da-visitare.gestore.cap,luoghi-da-visitare.gestore.localita,luoghi-da-visitare.gestore.mobile,luoghi-da-visitare.gestore.telefono,luoghi-da-visitare.gestore.fax,luoghi-da-visitare.gestore.email,luoghi-da-visitare.gestore.web,icon
10,I Colori del Mondo,"Via Leonardo Da Vinci, 32",,90145,,Palermo,,091/768143,091/768145,,icoloridelmondo@pinguinoviaggi.net,,Agenzia di viaggi,,DA.NI.MA s.a.s di Lo Cascio Nicoletta & C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
26,Kinos Viaggi,"Via Sampolo, 73",,90143,,Palermo,,091/07036,091/09624,,info@kinosviaggi.com,www.kinosviaggi.com,Agenzia di viaggi,,Capricorno '75 S.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
30,L & T viaggi,"Corso delle Province, 149",,90128,,Palermo,,0952880709,0952880709,,ltviaggi@hotmail.it,,Agenzia di viaggi,,L & T srl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
35,Ausonia Viaggi,"Via Gaetano Daita, 66",,90139,,Palermo,,091/585555,091/20578,,info@ausoniaviaggi.it,www.ausoniaviaggi.it,Agenzia di viaggi,,Ausoniaviaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
40,Manfre' Viaggi,"Via Empedocle Restivo, 34/36",,90144,,Palermo,,091/25442,091/25451,,manfreviaggi@tin.it,www.manfreviaggi.it,Agenzia di viaggi,,Manfre' Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
46,Borneo Viaggi,"Via G. Pipitone Federico, 33",,90144,,Palermo,,091/7302746,091/7826559,,borneoviaggi@hotmail.it,www.borneoviaggi.it,Agenzia di viaggi,,Borneo Viaggi di Tuttoilmondo Stefania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
55,Montalto Viaggi,"Via Vincenzo Di Marco, 5/A",,90143,,Palermo,,091/084407,091/0844407,,montaltoadv@libero.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
58,Noema Viaggi,"Via Gioacchino Di Marzo, 13",,90144,,Palermo,,091/00675,091/02531,,info@noemaviaggi.it,www.noemaviaggi.it,Agenzia di viaggi,,Noema Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
72,Cocciola Viaggi,"Via Ausonia, 116",,90146,,Palermo,,091/528322,091/521887,,info@cocciolaviaggi.it,www.cocciolaviaggi.it,Agenzia di viaggi,,Alemarviaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
80,Costa delle Mimose,"Viale Regione Siciliana Nord Ovest, 9939",,90147,,Palermo,,091/6910644,091/7481898,,costaantonella1973@gmail.com,www.costadellemimose.it,Agenzia di viaggi,,Costa delle Mimose S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
