id,nome,indirizzo,cap,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione,consolato.stato,consolato.console,consolato.pec,consolato.orari.giorni,consolato.orari.apertura,consolato.orari.chiusura,consolato.orari.note,accoglienza.stelle,accoglienza.camere,accoglienza.sale_meeting,accoglienza.residences,accoglienza.descrizione,accoglienza.direttore,accoglienza.gestione,divertimento-e-ristoro.cucina,divertimento-e-ristoro.orari.giorni,divertimento-e-ristoro.orari.apertura,divertimento-e-ristoro.orari.chiusura,divertimento-e-ristoro.orari.note,divertimento-e-ristoro.informazioni,luoghi-da-visitare.orari.giorni,luoghi-da-visitare.orari.apertura,luoghi-da-visitare.orari.chiusura,luoghi-da-visitare.orari.note,luoghi-da-visitare.orari.visite,luoghi-da-visitare.orari.servizi,luoghi-da-visitare.orari.prezzi,luoghi-da-visitare.informazioni_storiche,luoghi-da-visitare.note,luoghi-da-visitare.gestore.nome,luoghi-da-visitare.gestore.indirizzo,luoghi-da-visitare.gestore.cap,luoghi-da-visitare.gestore.localita,luoghi-da-visitare.gestore.mobile,luoghi-da-visitare.gestore.telefono,luoghi-da-visitare.gestore.fax,luoghi-da-visitare.gestore.email,luoghi-da-visitare.gestore.web,icon
22,Chiesa di Santa Cita (oggi San Mamiliano),Chiesa di Santa Cita (oggi San Mamiliano),90133,Palermo,,091/32779,,,,http://www.santacita.it,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
17,Chiesa di Sant' Agostino,Chiesa di Sant' Agostino,90134,Palermo,,091/84632,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
20,Chiesa di Santa Chiara,Chiesa di Santa Chiara,90134,Palermo,,091/31141,,3409840657,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
26,Chiesa di San Francesco d'Assisi,Chiesa di San Francesco d'Assisi,90133,Palermo,,091/82370,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
41,Chiesa di Santa Maria della Pietà,Chiesa di Santa Maria della Pietà,90133,Palermo,,091/165266,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
43,Chiesa di Santa Maria in Valverde,Chiesa di Santa Maria in Valverde,90133,Palermo,,091/32779,,,,http://www.santacita.it,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
7,Cattedrale,Cattedrale,90134,Palermo,,091/34373,091/34375,,cattedrale@diocesipa.it - segreteriacattedrale@diocesipa.it,http://www.cattedrale.palermo.it/,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
8,Chiesa del Monastero delle Cappuccinelle,Chiesa del Monastero delle Cappuccinelle,90138,Palermo,,091/114745,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
13,Chiesa dell'Immacolata Concezione al Capo,Chiesa dell'Immacolata Concezione al Capo,90134,,,091/28430,,,,www.santippolito.arcidiocesi.palermo.it/concezione,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
14,Chiesa della Madonna dell'Itria ai Cocchieri,Chiesa della Madonna dell'Itria ai Cocchieri,90133,Palermo,,091/165848,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
23,Chiesa di Santa Cristina La Vetere,Chiesa di Santa Cristina La Vetere,90134,Palermo,,091/48728,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
28,Chiesa di San Gioacchino (al Collegio Maria all'Olivella),Chiesa di San Gioacchino (al Collegio Maria all'Olivella),90133,Palermo,,. 091581058,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
29,Chiesa di San Giorgio dei Genovesi,Chiesa di San Giorgio dei Genovesi,90133,Palermo,,091/32779,,,,http://www.santacita.it,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
44,Chiesa di San Matteo,Chiesa di San Matteo,90133,Palermo,,,,3296198263,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
50,Chiesa dei SS. Quaranta Martiri Pisani alla Guilla,Chiesa dei SS. Quaranta Martiri Pisani alla Guilla,90134,Palermo,,,,3391588692 - 3293977513,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
51,Chiesa del SS. Salvatore,Chiesa del SS. Salvatore,90134,Palermo,,091/23392,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
52,Chiesa di San Sebastiano,Chiesa di San Sebastiano,90133,Palermo,,,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
53,Chiesa di San Stanislao Kostka,Chiesa di San Stanislao Kostka,90134,Palermo,,091/83859 - 0916622430,,,,http://www.sanstanislao.diocesipa.it/,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
56,Duomo di Monreale,Duomo di Monreale,90046,Monreale,,091/402424,,,,http://www.webdiocesi.chiesacattolica.it/sicilia/monreale,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
10,Chiesa del Gesù o di Casa Professa,Chiesa del Gesù o di Casa Professa,90134,Palermo,,091/32 213,,334187 9038,,http://www.itinerars.it/ - http://www.casaprofessa.blogspot.com,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
11,Chiesa di Santa Maria della Catena,Chiesa di Santa Maria della Catena,90133,Palermo,,091/21529 - 0916118168,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
12,Chiesa Santa Maria degli Angeli (detta la Gancia),Chiesa Santa Maria degli Angeli (detta la Gancia),90133,Palermo,,091/165221,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
18,Chiesa di Sant' Antonio Abate Magno,Chiesa di Sant' Antonio Abate Magno,90133,Palermo,,091/89940,,,,http://www.santoantonioabate.diocesipa.it,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
19,Chiesa di Santa Caterina d'Alessandria,Chiesa di Santa Caterina d'Alessandria,90133,Palermo,,,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
24,Chiesa di San Domenico,Chiesa di San Domenico,90133,Palermo,,091/89172 - 0916114314,,3294259159,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
25,Chiesa di Sant'Eulalia dei Catalani,Chiesa di Sant'Eulalia dei Catalani,90133,Palermo,,091/430481,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
27,Chiesa di San Francesco Saverio,Chiesa di San Francesco Saverio,90134,Palermo,,091/517052,,3283227667,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
31,Chiesa di San Giovanni dei Lebbrosi,Chiesa di San Giovanni dei Lebbrosi,90123,Palermo,,091/75024,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
32,Chiesa di San Giuseppe Cafasso (ex S.Giorgio in Kemonia),Chiesa di San Giuseppe Cafasso (ex S.Giorgio in Kemonia),90134,Palermo,,091/518223 - 0913822777,,,,www.sangiuseppecafasso.arcidiocesi.palermo.it,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
34,Chiesa di San Giuseppe dei Teatini,Chiesa di San Giuseppe dei Teatini,90134,Palermo,,091/31239,,,,http://www.sangiuseppeteatini.arcidiocesi.palermo.it,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
35,Chiesa di San Gregorio Papa,Chiesa di San Gregorio Papa,90134,Palermo,,091/83791,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
36,Chiesa di Sant'Ignazio all'Olivella,Chiesa di Sant'Ignazio all'Olivella,90133,Palermo,,091/86867,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
40,Chiesa di Santa Maria La Nova,Chiesa di Santa Maria La Nova,90133,Palermo,,091/26797,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
42,Chiesa di Santa Maria di Portosalvo,Chiesa di Santa Maria di Portosalvo,90133,Palermo,,,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
45,Chiesa di San Mattia dei Crociferi,Chiesa di San Mattia dei Crociferi,90133,Palermo,,091/406903,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
47,Chiesa di San Nicolò da Tolentino,Chiesa di San Nicolò da Tolentino,90133,Palermo,,091/163013,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
48,Chiesa di Santa Ninfa dei Crociferi,Chiesa di Santa Ninfa dei Crociferi,90134,Palermo,,091/34838,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
49,Chiesa di Santi Pietro e Paolo,Chiesa di Santi Pietro e Paolo,90139,Palermo,,091/35485 - 0916126843,,,,http://www.museoduocesanopa.it/chiese/ss-pietro-e-paolo,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
4,Cappella Palatina,Cappella Palatina,90129,Palermo,,091/262833,,,,,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
9,Chiesa di Santa Maria del Carmine,Chiesa di Santa Maria del Carmine,90134,Palermo,,091/512018,,,,www.museodiocesanopa.it/chiese/maria-ss-del-carmelo-carmine-maggiore,luogo da visitare,Chiesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red_blank
