id|nome|indirizzo|cap|citta|telefono|fax|email|web|camere|direttore|tipi|tipi_specifici|stelle
69|Grand Hotel Villa Igiea Hilton Palermo|Salita Belmonte, 43|90142|Palermo|0916312111 - 800 179217|091547654|vgiglio@amthotels.it - villa-igiea@amthotels.it|http://www.villa-igiea.com|124|Vito Giglio|accoglienza|albergo, hotel|5
73|Hotel Villa Archirafi|Via Lincoln, 30|90123|Palermo|0916168827|0916168631|villaarchirafi@libero.it|http://www.villaarchirafi.com|||accoglienza|albergo, hotel|2
74|Hotel Moderno|Via Roma , 276|90133|Palermo|091588683|091588683|info@hotelmodernopa.com|http://www.hotelmodernopa.com|||accoglienza|albergo, hotel|2
75|Hotel Ariston|Via Mariano Stabile, 139|90139|Palermo|091332434||info@aristonpalermo.it - info@bbaristonpalermo.com|http://www.aristonpalermo.it|||accoglienza|albergo, hotel|2
76|Hotel Italia|Via Roma, 62|90133|Palermo|0916169320|0917920035|hotelitaly@email.it|http://www.hotelitalia-palermo.it|||accoglienza|albergo, hotel|2
77|Hotel Alessandra|Via Divisi, 99|90133|Palermo|0916173958 - 0916174325|0916165180|informazioni@hotel-alessandra.it - direzione@hotel-alessandra.it|http://www.hotel-alessandra.it|||accoglienza|albergo, hotel|2
78|Hotel Orientale|Via Maqueda, 26|90134|Palermo|0916165727 - 0916163506|0916161193|prenotazioni@albergoorientale.191.it|http://www.albergoorientale.191.it|||accoglienza|albergo, hotel|1
81|Hotel Libertà|Via Mariano Stabile, 136|90139|Palermo|091321911|091345676||http://www.libertahotel.com|||accoglienza|albergo, hotel|2
84|Hotel Verdi|Via Maqueda, 417|90134|Palermo|091584928|0916116570|info@albergoverdi.it|http://www.albergoverdi.it|||accoglienza|albergo, hotel|2
86|Hotel Rainbow|P.le Ungheria, 84|90144|Palermo|091582867|0916120169|info@hotelrainbow.it|http://www.hotelrainbow.it|||accoglienza|albergo, hotel|2
88|Hotel Madonia|Via Mariano Stabile, 136|90139|Palermo|091333672 - 0916113532|091335364|||||accoglienza|albergo, hotel|2
89|Hotel Florio|Via Principe di Belmonte, 33|90139|Palermo|0916090852|091320247|info@hotelflorio.net|http://www.hotelflorio.info|||accoglienza|albergo, hotel|2
91|Hotel Boston|Via Mariano Stabile, 136|90139|Palermo|091580234||||||accoglienza|albergo, hotel|2
282|Cavour|Via Alessandro Manzoni, 11|90133|Palermo|0916162759|0916162759|albergocavour@virgilio.it|http://www.albergocavour.com|9||accoglienza|albergo, hotel|1
284|Corona|Via Roma, 118|90133|Palermo|0916162340|0916162340|totobenigno@libero.it||11||accoglienza|albergo, hotel|1
286|Sicilia|Via Divisi, 99|90133|Palermo|0916168460|0916163606|info@hotelsiciliapalermo.it|http://www.hotelsiciliapalermo.it|15||accoglienza|albergo, hotel|2
85|Hotel Gardenia|Via Mariano Stabile, 136|90139|Palermo|091333732|091333732|gardeniahotel@gardeniahotel.com|http://www.gardeniahotel.com|||accoglienza|albergo, hotel|2
17|Hotel Serena|Via Mariano Stabile, 139|90139|Palermo|0916115144|091586474 - 0916124145|info@amarcordhotel.it|http://www.amarcordhotel.com|8|Enzo Vena|accoglienza|albergo, hotel|3
28|Conchiglia D'Oro|Viale Cloe, 9|90151|Palermo - Mondello|091450032|091450359|concoro@sicilia.com|http://www.hotelconchigliadoro.com|50|Giovanni Genovese|accoglienza|albergo, hotel|3
32|Grand Hotel Federico II|Via Principe di Granatelli, 60|90139|Palermo|0917495052|0916092500|info@grandhotelfedericoii.it|http://www.grandhotelfedericoii.it|64|Antonio Buscemi|accoglienza|albergo, hotel|4
36|Hotel Del Centro|Via Roma, 72|90133|Palermo|0916170376|0916173654|info@hoteldelcentro.it|http://www.hoteldelcentro.it|||accoglienza|albergo, hotel|3
37|Elite Hotel|Via Mariano Stabile, 136|90139|Palermo|091329318|091588614|info@hotelelite.info|http://www.hotelelitepalermo.it|17|Giordano Silvia|accoglienza|albergo, hotel|3
43|Joli Hotel|Via Michele Amari, 11|90139|Palermo|0916111765|0918323211|info@hoteljoli.com - pietro.silano@hoteljoli.com|http://www.hoteljoli.com|30|Pietro Silano|accoglienza|albergo, hotel|3
52|Idea Hotel|Viale Regione Siciliana, 2620|90145|Palermo|0916983111|091408198|palermo@ideahotel.it - frontoffice.palermo@hotelidea.it|http://www.ideahotel.it|||accoglienza|albergo, hotel|4
53|Nh Jolly Hotel Palermo|Foro Italico, 22|90133|Palermo|0916165090 - 800 017703|0916161441|nhpalermo@nh-hotels.com|http://www.nh-hotels.it|237|Salvatore Patanè|accoglienza|albergo, hotel|4
59|Politeama Palace Hotel|Piazza Ruggiero Settimo, 15|90139|Palermo|091322777|0916111589|posta@hotelpoliteama.it - giovanna.bonsignore@hotelpoliteama.it|http://www.hotelpoliteama.it|||accoglienza|albergo, hotel|4
63|San Paolo Palace Hotel|Via Messina Marine, 91|90123|Palermo|0916211112|0916215300|hotel@sanpaolopalace.it|http://www.sanpaolopalace.it|290|Marcello Pizzuto|accoglienza|albergo, hotel|4
64|Splendid Hotel La Torre|Via Piano Gallo, 11|90151|Palermo - Mondello|091450222 - 800 236118|091450033|latorre@latorre.com|http://www.latorrehotel.it|||accoglienza|albergo, hotel|4
66|Torreata residence Hotel|Via del Bersagliere, 21|90143|Palermo|091540049|091540049|info@torreata.it|http://www.torreata.it|54|Rocca Raineri|accoglienza|albergo, hotel|3
68|Villa d'Amato|Via Messina Marine, 178/180|90121|Palermo|0916212767|0916213057|info@hotelvilladamato.it|http://www.hotelvilladamato.it|37|D'amato|accoglienza|albergo, hotel|3
72|Villa Bonocore Maletto|Via Salvatore Minutilla, 3|90147|Palermo|091244100|091244551|info@villabonocoremaletto.it|http://www.villabonocoremaletto.it|15||accoglienza|albergo, hotel|4
80|Hotel Cortese|Via Scarparelli, 16|90134|Palermo|091331722|091331722|htcortese@iol.it|http://www.hotelcortese.info|||accoglienza|albergo, hotel|2
87|Hotel Gaia|Via Onorato,13|90139|Palermo|091583011|091583011|palermohotelgaia@yahoo.it|http://www.palermohotelgaia.com|||accoglienza|albergo, hotel|2
19|Athenaeum|Via Giannettino, 4|90128|Palermo|0916523529|0916523456|info@albergoathenaeum.it|http://www.albergoathenaeum.it|||accoglienza|albergo, hotel|3
20|Artemisia Palace Hotel|Via Roma, 499|90139|Palermo|0916090612 - 0916095766|0916055766|info@artemisiapalacehotel.it|http://www.artemisiapalacehotel.it|19|Antonio Sorrentino|accoglienza|albergo, hotel|4
27|Centrale Palace Hotel|Corso Vittorio Emanuele, 327|90134|Palermo|091336666 - 800 820080|091334881|centrale@angalahotels.it|http://www.angalahotels.it|104|Elio Barraco|accoglienza|albergo, hotel|5
29|Cristal Palace Hotel|Via Roma, 477|90139|Palermo|0916123829 - 800 822269|091335604|direttore@hotelcristalpalace.it - info@hotelcristalpalace.it|http://www.hotelcristalpalace.net|86|Salvatore Romano|accoglienza|albergo, hotel|4
31|Grand Hotel et Des Palmes|Via Roma, 398|90141|Palermo|0916028111|091331545|des-palmes@amthotels.it|http://www.grandhoteldespalmes.com|183|Giovanni Sapienza|accoglienza|albergo, hotel|4
34|Grand Hotel Wagner|Via R. Wagner, 2|90139|Palermo|091336572|091335627|direzione@grandhotelwagner.it - info@grandhotelwagner.it|http://www.grandhotelwagner.it|61|Roberto Mannino|accoglienza|albergo, hotel|5
39|Hotel Florio Operà|Via Mariano Stabile, 136|90139|Palermo|091662 9004|091612 78 86|booking@hotelflorioopera.it|http://www.hotelflorioopera.it|||accoglienza|albergo, hotel|3
